"pair_id","Description","Direction","Origin","Destination","Distance"
10360,"I-90 EB after on-ramps (Newton Corner) TO I-90 EB after on-ramps (Beacon Park)","EB","I-90 EB after on-ramps (Newton Corner)","I-90 EB after on-ramps (Beacon Park)",5.3
10361,"I-90 EB after on-ramps (Beacon Park) TO I-90 WB in boat section","EB","I-90 EB after on-ramps (Beacon Park)","I-90 WB in boat section",3.8
10362,"I-95 NB before I-90 TO I-90 EB after on-ramps (Newton Corner)","NEB","I-95 NB before I-90","I-90 EB after on-ramps (Newton Corner)",4.5
10363,"I-90 EB after on-ramps (Beacon Park) TO I-93 SB before Mass Ave. Connector in Boston (u490) <0D>","SEB","I-90 EB after on-ramps (Beacon Park)","I-93 SB before Mass Ave. Connector in Boston (u490) <0D>",3.8
10364,"I-90 EB after on-ramps (Beacon Park) TO I-93 NB before Cambridge St. in Somerville (u487) <0A>","NEB","I-90 EB after on-ramps (Beacon Park)","I-93 NB before Cambridge St. in Somerville (u487) <0A>",5.7
10372,"I-495 SB before Rte. 9 (u1781) TO I-90 EB after on-ramps (Rte 9)","SEB","I-495 SB before Rte. 9 (u1781)","I-90 EB after on-ramps (Rte 9)",7.9
10373,"I-495 NB before I-90 (u1763) TO I-90 EB after on-ramps (Rte 9)","NEB","I-495 NB before I-90 (u1763)","I-90 EB after on-ramps (Rte 9)",6.6
10374,"I-90 EB before on-ramps (I-495) TO I-90 EB after on-ramps (Rte 9)","EB","I-90 EB before on-ramps (I-495)","I-90 EB after on-ramps (Rte 9)",6.2
10375,"I-90 EB after on-ramps (Rte 9) TO I-90 EB after on-ramps (Rte 30)","EB","I-90 EB after on-ramps (Rte 9)","I-90 EB after on-ramps (Rte 30)",5.4
10376,"I-90 EB after on-ramps (Rte 30) TO I-90 EB before on-ramps (I-95)","EB","I-90 EB after on-ramps (Rte 30)","I-90 EB before on-ramps (I-95)",5.4
10377,"90EB-MM122.6 to 95NB-MM038.5","SEB","I-90 EB before on-ramps (I-95)","I-95 NB before I-90",1.7
10378,"90EB-MM122.6 to 95SB-MM039.8","NEB","I-90 EB before on-ramps (I-95)","I-95 SB before I-90",1.8
10379,"I-90 EB before on-ramps (I-95) TO I-90 EB after on-ramps (Newton Corner)","EB","I-90 EB before on-ramps (I-95)","I-90 EB after on-ramps (Newton Corner)",3.7
10380,"90WB-MM127.6 to 95SB-MM039.8","NWB","I-90 WB after on-ramp (Newton Corner)","I-95 SB before I-90",5.6
10381,"90WB-MM127.6 to 95NB-MM038.5","SWB","I-90 WB after on-ramp (Newton Corner)","I-95 NB before I-90",5.5
10382,"I-90 WB after on-ramp (Newton Corner) TO I-90 WB after on-ramps (I-95)","WB","I-90 WB after on-ramp (Newton Corner)","I-90 WB after on-ramps (I-95)",6.9
10383,"I-95 SB before I-90 TO I-90 WB after on-ramps (I-95)","SWB","I-95 SB before I-90","I-90 WB after on-ramps (I-95)",3.3
10384,"I-95 NB before I-90 TO I-90 WB after on-ramps (I-95)","NWB","I-95 NB before I-90","I-90 WB after on-ramps (I-95)",3.6
10385,"I-90 WB after on-ramps (I-95) TO I-90 WB after on-ramps (Rte 30)","WB","I-90 WB after on-ramps (I-95)","I-90 WB after on-ramps  (Rte 30)",4.6
